Species,Count
Bombus affinis,22
Bombus auricomus,502
Bombus bimaculatus,1042
Bombus borealis,24
Bombus citrinus,11
Bombus fraternus,16
Bombus impatiens,3138
Bombus pensylvanicus,530
Bombus perplexus,57
Bombus sandersoni,1
Bombus ternarius,291
Bombus terricola,31
Bombus vagans,327
Bombus frigidus,98
