City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Kennebunk,ME,97.50,0.60,0.20,0.10,1.70
Lewiston,ME,89.00,0.30,1.90,3.00,1.30
Livermore Falls,ME,95.50,0.80,2.60,0.00,0.00
Millinocket,ME,95.30,1.00,6.40,0.00,0.00
Pittsfield,ME,97.30,0.40,5.00,1.70,0.00
Portland,ME,90.30,0.30,2.50,3.90,2.50
Presque Isle,ME,92.60,3.50,0.80,0.80,0.80
Rockland,ME,95.10,1.40,2.00,0.80,1.00
Rumford,ME,97.00,0.90,2.70,0.00,1.60
Sanford,ME,93.00,0.60,1.40,0.80,3.00
Skowhegan,ME,95.00,0.60,1.20,1.20,1.10
South Paris,ME,94.40,0.50,3.10,0.00,0.20
Waterville,ME,94.00,0.40,1.90,1.70,1.80
Adrian,MI,89.10,0.40,12.50,5.20,0.40
Albion,MI,61.40,0.90,8.20,31.50,0.30
Allegan,MI,87.50,1.10,6.20,8.90,0.50
Alma--St. Louis,MI,82.90,0.60,7.20,13.30,0.40
Almont,MI,99.20,0.00,3.60,0.00,0.00
Alpena,MI,96.50,0.40,1.90,1.00,0.60
Ann Arbor,MI,69.10,0.30,4.70,15.60,9.60
Au Sable,MI,95.70,0.30,5.10,1.10,1.30
Bad Axe,MI,96.20,0.20,1.80,1.40,1.80
Battle Creek,MI,75.90,0.70,5.70,14.70,3.30
Bay City,MI,93.10,0.30,6.50,2.30,0.60
Belding,MI,95.30,0.40,3.10,0.40,0.10
Benton Harbor--St. Joseph--Fair Plain,MI,65.20,0.10,4.70,28.10,2.40
Berrien Springs,MI,53.30,0.70,14.50,27.30,11.80
Big Rapids,MI,88.90,0.40,2.10,5.50,1.80
Blissfield,MI,96.80,0.90,2.10,0.70,0.30
Boyne City,MI,93.10,1.50,0.40,0.90,0.80
Brooklyn,MI,91.80,0.00,1.50,5.70,0.20
Cadillac,MI,94.40,0.80,1.70,1.20,1.00
Caro,MI,96.10,0.00,3.30,0.50,2.30
Cedar Springs,MI,92.00,0.20,6.70,2.50,0.70
Charlevoix,MI,94.80,1.80,3.20,0.80,0.40
Charlotte,MI,95.00,0.20,5.90,0.70,0.30
Cheboygan,MI,93.00,0.90,3.80,2.90,0.30
Chelsea,MI,96.40,0.00,3.20,1.20,0.80
Clare,MI,96.80,0.60,2.00,1.00,0.00
Coldwater,MI,88.40,0.60,6.30,6.30,1.00
Constantine,MI,93.60,0.20,6.40,2.60,0.50
Coopersville,MI,92.60,1.70,1.90,0.00,0.20
Detroit,MI,66.10,0.30,4.50,25.30,4.60
Dorr,MI,98.10,0.00,0.80,0.20,0.00
Douglas,MI,97.20,1.20,7.20,0.20,0.10
Dowagiac,MI,65.90,3.80,10.70,14.20,0.80
Dundee,MI,97.80,0.00,1.80,0.60,1.00
Durand,MI,97.20,0.10,1.10,0.20,0.00
East Tawas,MI,94.20,1.70,1.60,1.20,1.00
Eaton Rapids,MI,95.80,0.70,4.00,1.70,0.30
Escanaba,MI,93.60,2.10,1.20,0.40,0.60
Flint,MI,71.00,0.40,3.50,23.40,1.20
Fowlerville,MI,96.50,0.20,2.60,0.90,0.40
Frankenmuth,MI,99.20,0.00,1.20,0.50,0.00
Fremont,MI,89.60,2.90,8.90,1.50,1.40
Gaylord,MI,93.80,0.90,1.10,0.60,0.50
Gladwin,MI,97.70,0.30,0.80,0.90,0.20
Goodrich,MI,96.50,0.10,2.40,1.00,0.90
Grand Rapids,MI,79.00,0.40,10.70,10.30,3.00
Grayling,MI,97.30,0.20,2.30,2.00,0.00
Greenville,MI,96.00,0.00,3.00,0.20,0.00
Gun Lake,MI,99.40,0.00,3.30,0.00,0.00
Harrison,MI,94.80,0.20,2.10,1.70,1.20
Hart,MI,91.00,1.30,25.90,1.70,0.00
Hastings,MI,95.00,0.60,1.00,0.30,1.70
Hillsdale,MI,94.50,0.50,3.00,1.90,0.50
Holland,MI,82.80,0.30,20.60,2.30,5.00
Holly,MI,93.80,0.20,4.70,2.00,0.70
Houghton,MI,89.10,0.40,2.00,1.50,6.20
Houghton Lake,MI,97.30,1.00,2.00,0.30,0.10
Imlay City,MI,89.30,0.10,30.20,0.40,1.80
Ionia,MI,77.60,0.50,6.90,17.10,0.50
Iron Mountain--Kingsford,MI,96.40,0.70,1.60,0.70,0.60
Iron River,MI,95.00,1.30,2.80,0.30,0.20
Ironwood,MI,95.40,1.00,0.60,1.50,0.30
Ishpeming,MI,96.80,0.30,0.70,0.40,0.20
Jackson,MI,81.40,0.30,4.60,13.10,0.80
Kalamazoo,MI,78.50,0.30,5.10,12.90,2.80
Kalkaska,MI,91.20,1.90,0.00,1.10,1.10
Kinross,MI,44.50,14.60,3.40,30.90,0.60
Lansing,MI,73.70,0.40,7.80,12.30,6.00
Lapeer,MI,87.80,0.80,3.40,6.40,1.20
Laurium,MI,95.50,0.40,1.20,0.40,0.10
Lowell,MI,95.70,0.00,1.70,0.80,0.50
Ludington,MI,96.10,0.40,4.60,0.80,0.30
Manistee,MI,86.50,2.30,3.60,6.00,0.90
Manistique,MI,85.60,6.20,1.30,0.80,0.70
Marquette,MI,90.00,0.90,1.70,3.60,1.80
Marshall,MI,95.10,0.20,5.30,1.40,1.40
Middleville,MI,97.80,0.00,6.00,1.50,0.00
Midland,MI,91.50,0.50,3.00,1.80,3.20
Milan,MI,85.10,1.00,5.80,8.60,1.00
Monroe,MI,92.40,0.50,3.90,3.90,0.50
Mount Pleasant,MI,84.40,3.00,4.40,4.30,2.70
Munising,MI,71.70,1.70,2.60,22.60,0.20
Muskegon,MI,80.30,0.50,4.90,13.80,0.80
Newaygo,MI,89.00,0.20,14.80,1.70,0.00
Newberry,MI,68.50,7.20,4.90,14.10,0.60
Otsego--Plainwell,MI,95.10,0.40,1.20,0.60,0.00
Owosso,MI,95.70,0.20,4.70,0.60,0.80
Paw Paw,MI,91.50,0.40,5.60,1.10,0.90
Paw Paw Lake--Hartford,MI,85.60,1.50,11.60,0.60,0.60
Perry,MI,98.40,0.00,3.60,0.30,0.00
Petoskey,MI,89.80,1.60,1.40,0.70,1.30
Port Huron,MI,90.80,0.10,4.30,3.50,0.90
Portland,MI,91.60,0.00,3.20,4.50,1.40
Richmond,MI,96.00,0.00,1.40,1.00,0.00
Rogers City,MI,95.30,0.40,0.40,1.10,1.20
Saginaw,MI,63.10,0.40,10.80,28.40,1.60
St. Ignace,MI,63.20,26.80,1.60,1.20,1.20
St. Johns,MI,95.30,0.20,3.30,1.10,0.90
Sandusky,MI,89.20,1.60,5.80,2.10,2.20
Sault Ste. Marie,MI,76.50,13.20,1.60,2.70,0.60
Somerset,MI,98.00,0.00,3.70,0.60,0.70
South Haven,MI,80.80,0.30,5.80,11.20,1.60
South Lyon--Howell,MI,95.20,0.20,2.50,0.80,1.70
Sparta,MI,96.10,0.00,6.90,0.80,0.70
Sturgis,MI,84.80,1.10,23.40,0.60,0.20
Three Rivers,MI,82.30,0.50,4.10,10.40,1.50
Traverse City,MI,94.60,1.00,4.10,1.00,0.70
Vassar,MI,88.00,0.00,3.90,7.00,0.00
Wayland,MI,93.30,0.30,3.10,0.30,1.30
Whitehall,MI,93.10,1.10,5.50,1.40,0.70
Williamston,MI,97.40,0.00,4.30,0.40,0.40
Albany,MN,95.10,0.00,1.90,3.40,0.20
Albert Lea,MN,92.10,0.50,13.80,2.10,2.50
Alexandria,MN,95.40,0.70,1.70,1.20,0.10
Annandale,MN,89.90,0.00,9.50,1.00,0.00
Austin,MN,86.50,0.10,15.70,5.10,3.60
Becker,MN,93.60,3.10,0.60,0.90,0.80
Belle Plaine,MN,95.10,0.90,3.70,1.10,1.40
Bemidji,MN,80.90,12.10,2.00,1.10,1.10
Benson,MN,92.60,0.00,2.80,6.00,0.80
Blue Earth,MN,95.70,0.20,7.40,0.20,0.00
Brainerd,MN,94.30,1.20,1.40,1.70,0.50
Buffalo,MN,97.30,0.10,1.40,0.80,1.30
Byron,MN,97.90,0.30,0.50,0.00,0.40
Caledonia,MN,95.10,0.40,0.70,2.90,0.00
Cambridge,MN,93.80,0.40,2.10,0.60,1.60
Cannon Falls,MN,96.40,0.00,1.40,0.00,0.00
Chatfield,MN,98.00,0.00,4.80,1.00,0.00
Chisholm,MN,98.30,0.70,1.70,0.50,0.00
Cloquet,MN,89.90,4.60,1.80,1.40,0.30
Cokato,MN,91.90,0.30,9.20,0.20,0.50
Cold Spring,MN,97.70,0.00,4.80,0.00,0.00
Crookston,MN,91.80,1.20,14.00,1.50,1.00
Crosby,MN,93.60,1.20,3.10,0.30,1.60
Delano,MN,93.60,0.00,1.00,0.00,1.40
Detroit Lakes,MN,87.30,5.20,2.40,1.50,1.40
Dodge Center,MN,93.30,1.10,13.50,0.00,0.80
Duluth,MN,90.50,1.80,2.20,2.60,1.60
Elko New Market,MN,96.60,0.00,0.50,0.50,1.80
Ely,MN,98.10,0.20,0.50,0.60,0.40
Fairmont,MN,95.70,0.00,6.40,0.10,1.90
Faribault,MN,78.80,0.80,11.20,10.80,2.70
Fergus Falls,MN,94.80,0.70,3.10,2.50,0.90
Forest Lake,MN,94.30,0.30,2.10,1.30,0.90
Glencoe,MN,88.40,0.00,11.60,0.20,0.00
Grand Rapids,MN,95.90,1.30,0.80,0.30,0.90
Granite Falls,MN,87.80,9.10,9.30,1.00,0.30
Hastings,MN,94.20,0.50,3.30,1.30,0.60
Hibbing,MN,93.70,0.10,1.10,0.70,2.20
Hutchinson,MN,95.40,0.30,3.30,0.40,1.00
International Falls,MN,93.30,3.20,0.10,1.60,0.80
Jackson,MN,90.90,0.00,3.60,0.40,6.10
Jordan,MN,88.60,0.00,9.50,1.80,2.60
Kasson,MN,95.80,0.40,1.20,0.30,1.50
Lake City,MN,97.90,0.20,3.40,1.10,0.00
Lake Crystal,MN,98.90,0.00,1.40,0.00,0.00
Le Sueur,MN,92.60,0.00,15.00,0.00,1.90
Lindstrom--Chisago City,MN,95.80,0.30,2.50,0.00,2.30
Litchfield,MN,96.80,0.40,6.80,2.10,0.00
Little Falls,MN,94.20,0.10,1.00,2.00,0.90
Long Prairie,MN,89.50,2.10,34.80,0.00,0.00
Lonsdale,MN,98.70,0.00,2.50,0.70,0.00
Luverne,MN,95.60,1.20,4.60,0.80,1.40
Mankato,MN,89.40,0.30,3.40,4.80,2.50
Marshall,MN,83.40,0.60,8.50,6.00,4.40
Melrose,MN,97.20,0.00,16.40,0.50,0.00
Milaca,MN,92.10,1.20,2.60,0.40,0.00
Minneapolis--St. Paul,MN,75.60,0.60,6.50,9.80,7.70
Montevideo,MN,92.40,1.10,9.30,0.80,1.40
Montgomery,MN,90.40,1.30,4.20,3.50,0.00
Monticello--Big Lake,MN,91.70,1.20,6.40,2.10,0.50
Montrose,MN,93.90,0.10,5.60,0.80,1.00
Moose Lake,MN,80.10,4.80,3.40,8.20,0.10
Mora,MN,96.90,1.30,1.90,0.00,0.00
Morris,MN,90.50,3.90,3.40,1.60,2.70
New London,MN,98.70,0.00,3.80,0.00,0.00
New Prague,MN,96.90,1.20,3.30,0.00,0.40
New Ulm,MN,95.90,0.30,3.70,0.30,1.10
North Branch,MN,96.80,0.50,3.30,1.10,0.10
Northfield,MN,88.90,0.20,8.40,1.90,3.40
Norwood Young America,MN,92.60,0.40,1.20,3.50,0.20
Owatonna,MN,89.10,0.20,8.10,4.40,1.40
Park Rapids,MN,88.90,2.80,2.60,4.00,0.60
Perham,MN,93.10,0.90,10.30,0.00,0.90
Pine City,MN,93.10,0.30,2.80,2.00,1.00
Pine Island,MN,97.30,0.00,0.40,1.50,1.10
Pipestone,MN,86.60,1.10,10.30,2.80,2.20
Plainview,MN,99.40,0.50,3.50,0.00,0.00
Princeton,MN,93.40,0.10,3.30,0.00,2.00
Red Wing,MN,91.00,1.40,5.40,2.30,0.60
Redwood Falls,MN,86.80,6.40,4.60,1.80,0.80
Rochester,MN,80.80,0.30,5.80,7.40,7.40
Rockford,MN,96.40,0.40,8.70,0.00,0.20
Roseau,MN,95.80,0.90,1.20,0.70,0.40
Rush City,MN,78.00,3.10,2.20,14.80,2.10
St. Charles,MN,78.10,0.00,3.90,0.00,18.20
St. Cloud,MN,84.90,0.50,3.10,8.40,2.90
St. Francis,MN,92.70,0.00,0.80,0.00,1.10
St. James,MN,80.80,0.20,38.40,0.00,0.00
St. Peter,MN,91.80,0.40,7.00,1.60,2.90
Sauk Centre,MN,94.10,0.00,7.30,1.20,0.20
Sleepy Eye,MN,90.70,0.00,12.90,0.60,0.00
Staples,MN,96.80,0.10,2.90,0.10,0.00
Stewartville,MN,95.00,0.00,3.30,0.00,0.00
Thief River Falls,MN,93.40,1.80,3.70,2.00,1.00
Two Harbors,MN,95.60,0.40,0.00,2.40,0.00
Virginia,MN,93.00,3.70,0.80,0.30,0.20
Waconia,MN,96.90,0.00,2.30,0.80,0.60
Wadena,MN,95.70,1.40,2.30,1.40,0.00
Waseca,MN,89.90,1.70,8.60,4.00,0.30
Watertown,MN,97.60,0.70,2.50,0.00,0.80
Willmar,MN,78.10,0.60,21.30,9.00,1.20
Windom,MN,86.80,0.70,10.40,0.90,3.00
Winona,MN,94.20,0.40,2.90,2.20,1.70
Worthington,MN,66.30,0.70,41.60,6.70,10.00
Zimmerman,MN,97.20,0.00,2.20,0.00,0.70
Zumbrota,MN,98.10,0.30,2.30,0.00,0.20
Ashland,MO,94.70,0.00,1.70,0.70,0.20
Aurora,MO,94.40,1.00,8.80,0.00,0.30
Ava,MO,99.70,0.00,0.00,0.30,0.00
Bethany,MO,93.20,0.00,6.60,1.70,0.00
Bolivar,MO,93.00,0.70,4.00,1.60,1.00
Boonville,MO,82.60,0.50,2.30,11.60,0.10
Bowling Green,MO,79.50,1.10,2.80,15.00,1.40
Branson,MO,90.50,0.90,8.20,1.80,1.30
Brookfield,MO,95.40,0.20,3.40,1.10,0.40
Buckner,MO,95.60,0.30,3.30,0.30,0.80
Buffalo,MO,93.20,2.10,2.00,0.00,0.00
Butler,MO,94.40,0.90,4.50,2.60,0.00
California,MO,93.60,0.00,12.80,0.50,0.00
Camdenton,MO,87.40,0.00,2.60,4.40,3.60
Cameron,MO,81.20,1.00,3.20,13.30,0.70
Cape Girardeau,MO,84.70,0.30,2.30,10.90,1.70
Carrollton,MO,97.20,0.00,1.30,1.70,0.30
Carthage,MO,89.90,0.60,32.50,1.80,0.60
Caruthersville,MO,62.40,0.00,1.80,35.90,0.00
Cassville,MO,92.00,0.40,7.90,0.80,1.90
Centralia,MO,99.40,0.00,0.80,0.40,0.00
Chaffee,MO,96.80,0.00,1.30,2.00,0.00
Charleston,MO,43.50,1.80,1.70,52.10,0.10
Chillicothe,MO,91.20,0.90,2.20,4.50,0.90
Clinton,MO,94.80,1.40,3.50,1.70,0.20
Columbia,MO,77.30,0.30,3.80,10.70,5.40
Cuba,MO,92.70,0.00,7.30,0.60,0.00
De Soto,MO,93.70,0.20,1.70,2.50,0.10
Dexter,MO,96.10,0.30,2.90,2.00,0.00
East Prairie,MO,95.50,0.30,4.10,3.00,0.00
Eldon,MO,93.60,4.50,2.60,0.10,0.00
El Dorado Springs,MO,96.10,0.00,0.40,0.00,0.00
Eureka,MO,91.70,0.00,2.80,1.80,3.10
Excelsior Springs,MO,91.00,0.00,4.30,4.10,1.30
Farmington,MO,89.60,0.50,1.40,6.90,0.80
Fayette,MO,82.50,0.60,1.10,13.20,0.80
Forsyth,MO,91.00,0.70,7.30,0.50,1.10
Fort Leonard Wood,MO,66.00,1.00,14.30,17.50,3.80
Fredericktown,MO,97.00,0.00,6.00,1.30,1.00
Fulton,MO,82.70,0.30,3.20,10.90,1.00
Hannibal,MO,88.40,0.30,2.10,7.90,0.90
Harrisonville,MO,93.00,0.30,2.50,2.40,0.20
Hayti,MO,39.50,0.50,1.90,56.80,0.00
Higginsville,MO,90.70,0.00,8.60,3.60,0.00
Hillsboro,MO,93.30,0.00,1.50,1.60,0.70
Ironton,MO,94.10,0.70,2.30,2.10,0.00
Jefferson City,MO,79.60,0.50,3.00,14.70,1.70
Joplin,MO,89.50,1.60,3.70,2.80,1.50
Kansas City,MO,74.60,0.40,10.40,15.10,3.50
Kearney,MO,91.60,0.10,7.80,0.00,0.20
Kennett,MO,81.60,0.90,6.20,11.80,0.10
Kimberling City,MO,99.40,0.00,5.10,0.00,0.00
Kirksville,MO,89.60,0.30,2.60,3.60,3.70
Lamar,MO,95.70,0.10,2.70,0.50,1.70
Lebanon,MO,94.20,0.20,3.50,0.90,0.50
Lee's Summit,MO,85.80,0.60,4.20,7.50,2.60
Lexington,MO,86.00,0.10,4.70,7.60,1.50
Louisiana,MO,88.90,0.40,6.20,2.60,0.40
Macon,MO,88.70,0.20,0.80,6.30,1.20
Malden,MO,68.20,0.20,1.70,27.80,0.00
Marshall,MO,78.60,0.00,16.40,6.40,3.20
Marshfield,MO,92.10,0.60,2.00,2.50,0.70
Maryville,MO,91.10,0.40,2.10,4.10,3.20
Mexico,MO,88.60,0.40,5.20,6.60,0.20
Moberly,MO,86.10,0.60,1.60,9.90,0.60
Monett,MO,91.10,0.20,24.30,0.00,1.20
Montgomery City,MO,94.10,0.00,1.50,1.60,0.00
Mountain Grove,MO,97.10,0.00,0.70,1.30,0.00
Mount Vernon,MO,97.00,0.90,0.90,0.60,0.20
Neosho,MO,88.80,1.40,12.40,2.10,2.50
Nevada,MO,93.90,0.50,0.90,2.20,1.30
New Madrid,MO,61.00,0.30,0.90,37.40,0.00
Odessa,MO,97.00,0.20,0.20,0.60,1.30
Osage Beach,MO,95.10,2.90,7.90,0.40,0.00
Owensville,MO,99.60,0.00,2.20,0.00,0.00
Pacific,MO,92.80,0.00,2.50,3.10,0.00
Palmyra,MO,94.70,0.00,0.50,1.40,1.50
Perryville,MO,96.10,0.80,3.00,0.30,1.50
Platte City,MO,90.70,0.10,3.70,6.40,0.60
Pleasant Hill,MO,91.80,0.00,5.20,5.30,0.00
Poplar Bluff,MO,85.10,0.00,3.20,9.90,1.30
Portageville,MO,74.70,0.00,0.20,22.30,0.00
Potosi,MO,84.50,0.80,0.70,13.20,0.10
Richmond,MO,92.70,0.40,3.50,5.20,0.00
Rogersville,MO,98.10,0.00,4.50,0.00,0.20
Rolla,MO,85.40,0.30,3.00,5.40,7.10
St. Clair,MO,93.90,1.60,0.90,0.60,2.20
Ste. Genevieve,MO,89.60,0.00,0.50,9.20,0.00
St. James,MO,92.00,2.50,2.60,0.30,0.10
St. Joseph,MO,87.10,0.40,6.90,6.50,1.20
St. Louis,MO,70.70,0.20,3.20,22.90,3.00
Salem,MO,95.30,1.40,0.30,0.80,0.00
Savannah,MO,99.50,0.10,1.60,0.40,0.00
Scott City,MO,97.80,0.00,3.20,0.60,0.00
Sedalia,MO,87.90,0.20,9.80,3.90,1.00
Sikeston,MO,70.80,0.60,1.70,24.60,0.90
Smithville North,MO,84.50,0.00,0.60,0.00,10.60
Springfield,MO,90.20,0.50,3.90,3.30,2.00
Sullivan,MO,95.10,0.00,2.50,0.90,0.20
Thayer,MO,95.50,2.80,0.50,0.30,0.70
Tipton,MO,86.00,0.00,1.30,13.20,0.00
Trenton,MO,94.30,1.30,3.50,1.10,0.60
Troy,MO,94.50,0.00,3.40,3.00,0.80
Union,MO,97.60,0.00,1.20,0.90,0.80
Vandalia,MO,80.30,0.30,0.60,13.70,1.00
Village of Four Seasons,MO,96.80,0.60,0.70,1.80,0.30
Warrensburg,MO,84.80,0.90,3.70,7.50,2.50
Warrenton,MO,93.10,0.60,2.30,3.00,0.60
Warsaw,MO,96.30,0.30,3.20,0.70,0.00
Washington,MO,93.40,0.20,1.70,0.90,1.90
West Plains,MO,92.80,0.00,2.70,0.80,1.20
Whiteman AFB,MO,81.30,0.30,9.00,7.00,2.80
Willard,MO,93.10,0.50,4.40,1.20,0.00
Windsor,MO,93.10,0.00,0.00,5.40,0.00
Wright City,MO,83.70,0.00,5.70,8.00,0.70
Aberdeen,MS,26.10,0.00,1.30,68.70,0.20
Amory,MS,68.00,0.00,0.20,28.30,1.00
Batesville,MS,46.20,0.00,1.20,52.90,0.10
Belzoni,MS,12.50,0.00,3.00,84.40,0.00
Booneville,MS,67.80,0.00,1.90,25.70,0.00
Brookhaven,MS,39.20,0.00,0.80,58.10,2.40
Canton,MS,17.40,0.20,6.50,74.50,1.90
Carthage,MS,44.70,8.30,10.60,45.80,0.80
Charleston,MS,30.10,0.00,0.00,68.80,0.50
Clarksdale,MS,17.20,0.10,0.10,81.40,0.70
Cleveland,MS,40.60,0.20,2.60,55.50,1.30
Columbia,MS,53.90,0.00,2.40,44.70,0.50
Columbus,MS,40.90,0.20,1.50,56.60,1.00
Columbus AFB,MS,56.60,0.90,6.30,34.50,1.60
Corinth,MS,69.00,0.30,5.60,25.50,0.10
Crystal Springs,MS,27.40,0.00,4.20,68.40,0.00
Diamondhead,MS,95.10,0.00,6.70,1.50,0.00
Durant,MS,12.70,0.00,0.60,87.10,0.00
Forest,MS,42.80,0.00,25.60,51.90,0.60
Fulton,MS,73.50,0.00,0.10,24.70,1.40
Gautier,MS,72.90,0.00,2.00,23.00,2.00
Greenville,MS,16.00,0.10,0.90,81.60,0.90
Greenwood,MS,23.30,0.00,1.20,74.20,1.00
Grenada,MS,40.00,0.00,0.90,58.80,0.00
Gulfport,MS,69.00,0.50,6.10,22.80,3.20
Hattiesburg,MS,54.80,0.10,3.30,40.80,1.30
Hazlehurst,MS,15.00,0.00,1.60,81.80,1.20
Hollandale,MS,15.30,0.00,0.30,84.30,0.00
Holly Springs,MS,17.00,0.40,1.00,82.40,0.00
Houston,MS,54.80,0.00,22.40,41.00,0.70
Indianola,MS,14.40,0.80,1.40,83.80,0.30
Itta Bena,MS,10.80,0.00,0.90,88.90,0.00
Jackson,MS,44.20,0.10,2.30,52.40,1.40
Kosciusko,MS,41.90,0.40,0.60,55.50,0.50
Laurel,MS,37.00,0.00,3.70,60.50,1.10
Leland,MS,30.20,0.00,1.60,67.30,0.60
Louisville,MS,25.50,1.10,3.10,70.80,0.10
Lucedale,MS,69.90,0.00,1.60,28.40,1.20
McComb,MS,27.90,0.20,2.30,70.60,0.70
Macon,MS,15.80,0.00,1.30,84.10,0.00
Magee,MS,55.70,0.10,1.90,43.80,0.10
Marks,MS,20.70,0.00,0.00,78.20,0.00
Meridian,MS,35.10,0.10,1.60,61.90,1.00
Moorhead,MS,9.20,0.00,0.00,89.10,0.00
Morton,MS,54.30,0.20,26.80,44.50,0.00
Natchez,MS,45.10,0.20,4.50,52.10,0.80
New Albany,MS,62.20,0.00,10.40,29.00,3.80
Newton,MS,33.30,0.00,3.50,65.40,0.90
Oxford,MS,75.00,0.10,2.10,20.30,3.30
Pascagoula,MS,50.00,0.60,8.80,44.80,1.20
Philadelphia,MS,44.90,4.70,4.10,47.00,0.50
Picayune,MS,67.10,0.00,3.30,29.20,1.00
Pontotoc,MS,73.30,0.00,15.60,18.50,0.30
Raymond,MS,42.00,0.50,0.30,56.10,0.00
Ripley,MS,56.60,0.20,18.90,31.30,0.70
Ruleville,MS,15.30,0.00,0.30,84.60,0.00
Saltillo,MS,92.10,0.00,0.50,6.50,0.70
Senatobia,MS,57.70,0.00,2.70,40.90,0.90
Starkville,MS,58.60,0.10,1.60,34.70,3.80
Tunica,MS,19.20,0.00,0.70,79.60,0.10
Tupelo,MS,53.90,0.20,2.80,43.10,0.90
Vicksburg,MS,35.30,0.10,0.60,62.90,0.40
Water Valley,MS,52.00,0.20,1.40,47.60,0.00
Waynesboro,MS,32.90,0.00,2.10,64.90,1.80
West Point,MS,30.10,0.10,0.00,69.20,0.40
Wiggins,MS,53.50,0.00,4.40,45.10,0.00
Winona,MS,38.60,0.00,0.00,53.50,0.80
Yazoo City,MS,17.60,0.50,8.30,75.10,0.40
Anaconda-Deer Lodge County,MT,92.50,0.70,2.10,0.50,0.80
Belgrade,MT,94.90,1.70,4.40,0.20,0.00
Billings,MT,89.70,4.90,6.30,0.80,0.70
Bozeman,MT,93.30,1.20,3.00,0.50,2.10
Browning,MT,5.40,93.30,1.80,0.20,0.60
Butte-Silver Bow,MT,93.90,2.40,4.60,0.60,0.90
Columbia Falls,MT,94.40,2.70,1.70,0.00,0.10
Conrad,MT,94.40,1.60,2.10,0.80,0.40
Cut Bank,MT,63.30,32.90,4.10,0.20,0.70
Deer Lodge,MT,94.80,0.30,0.10,0.60,2.00
Dillon,MT,97.00,2.10,5.70,0.00,0.50
Four Corners,MT,98.30,0.00,3.20,0.00,0.00
Glasgow,MT,90.40,5.10,3.50,0.00,0.00
Glendive,MT,94.30,2.40,3.00,0.70,0.10
Great Falls,MT,86.90,5.30,5.00,1.60,1.10
Hamilton,MT,94.80,1.60,8.30,0.00,0.20
Hardin,MT,47.60,47.70,10.40,0.00,0.40
Havre,MT,81.30,13.50,3.80,0.20,0.80
Helena,MT,93.50,2.00,3.10,0.40,0.80
Kalispell,MT,93.00,1.50,4.50,0.40,0.80
Laurel,MT,97.00,1.10,2.10,0.40,0.00
Lewistown,MT,94.80,1.00,2.80,0.00,2.60
Libby,MT,97.70,1.00,2.20,0.00,0.00
Livingston,MT,95.50,0.40,3.80,0.60,0.00
Lolo,MT,93.70,2.40,4.00,0.00,0.70
Miles City,MT,94.60,2.10,3.40,0.60,0.30
Missoula,MT,91.40,2.70,2.90,0.50,1.70
Polson,MT,74.60,17.40,3.90,0.30,0.50
Poplar,MT,9.70,87.30,0.70,0.10,0.00
Shelby,MT,88.80,6.20,5.60,0.10,1.10
Sidney,MT,95.90,2.40,7.50,0.00,0.00
Whitefish,MT,98.40,0.30,1.40,0.00,0.20
Wolf Point,MT,37.00,53.30,4.30,0.00,1.20
Ahoskie,NC,28.00,1.30,4.40,65.80,0.90
Albemarle,NC,70.20,0.70,5.40,22.30,2.70
Archer Lodge--Clayton,NC,82.30,0.70,6.60,10.30,1.30
Asheboro,NC,73.60,0.60,23.90,11.00,1.10
Asheville,NC,88.00,0.30,8.10,6.60,1.50
Benson,NC,66.60,2.50,36.00,7.50,1.90
Biscoe,NC,82.90,0.00,49.10,10.00,1.00
Boiling Spring Lakes,NC,82.30,0.00,10.60,1.20,0.40
Boiling Springs,NC,85.10,0.00,2.20,13.00,0.10
Boone,NC,91.60,0.50,5.20,2.70,0.80
Brevard,NC,84.20,0.30,4.50,7.20,1.30
Buies Creek,NC,73.50,0.10,11.20,18.30,1.50
Burgaw,NC,48.70,0.20,7.60,43.80,0.00
Burlington,NC,65.30,0.40,14.20,22.70,1.70
Butner,NC,52.10,0.50,12.90,33.70,0.50
Charlotte,NC,61.70,0.30,12.10,26.30,5.00
Cherryville,NC,85.80,0.30,5.00,8.30,0.30
Clinton,NC,49.60,1.30,12.90,41.00,1.20
Concord,NC,69.20,0.30,11.60,21.40,1.90
Cullowhee,NC,82.10,1.30,8.20,8.50,1.60
Dunn,NC,57.80,0.80,8.10,33.60,0.40
Durham,NC,55.60,0.30,12.80,31.20,6.20
Eden,NC,65.50,0.70,10.50,23.00,1.30
Edenton,NC,33.50,1.10,1.10,63.10,0.50
Elizabeth City,NC,49.70,0.00,6.60,45.40,2.00
Elizabethtown,NC,38.10,1.60,7.10,53.00,0.00
Elkin,NC,79.70,0.90,14.80,8.20,0.70
Enfield,NC,8.90,0.90,0.00,90.00,0.00
Fairfield Harbour,NC,98.70,0.00,1.20,0.70,0.00
Fairmont,NC,25.00,7.40,4.00,62.80,0.00
Farmville,NC,54.50,0.20,3.00,43.00,0.00
Fayetteville,NC,48.10,1.30,12.30,38.40,2.90
Fearrington Village,NC,97.40,0.00,0.30,2.60,0.00
Forest City,NC,74.30,0.50,6.10,20.20,0.80
Franklin,NC,88.80,0.40,8.90,3.50,0.30
Gastonia,NC,73.20,0.30,7.20,18.90,1.70
Goldsboro,NC,50.50,0.30,8.00,40.60,2.00
