City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Knox,IN,98.60,0.00,5.90,0.00,0.00
Kokomo,IN,85.10,0.40,3.40,9.50,1.40
Lafayette,IN,80.80,0.20,9.10,5.50,9.20
Lagrange,IN,94.80,0.00,15.50,0.00,0.20
Lawrenceburg--Greendale--Aurora,IN,96.60,0.00,0.80,2.10,0.80
Lebanon,IN,95.60,0.00,4.10,1.20,0.00
Ligonier,IN,95.70,0.00,58.00,0.20,0.00
Linton,IN,98.20,0.00,0.90,0.60,0.20
Logansport,IN,73.20,0.30,24.90,2.00,2.50
Loogootee,IN,98.40,1.00,0.30,0.40,0.00
Lowell,IN,96.90,0.20,5.80,0.20,0.30
Madison,IN,92.70,0.40,4.30,3.50,1.30
Marion,IN,82.40,0.10,5.20,11.90,1.00
Martinsville,IN,95.00,0.20,1.30,1.80,0.70
Michigan City--La Porte,IN,77.50,0.30,7.20,15.10,0.80
Middlebury,IN,92.30,0.00,10.00,1.20,0.00
Middletown,IN,97.50,0.00,2.30,0.50,1.00
Mitchell,IN,93.50,0.00,5.50,0.20,1.10
Monticello,IN,88.10,0.70,11.10,0.10,0.00
Mount Vernon,IN,92.40,0.00,1.60,4.40,0.50
Muncie,IN,85.90,0.10,2.60,9.30,1.40
Nappanee,IN,95.30,0.00,7.00,2.40,1.20
New Carlisle,IN,98.30,0.10,1.20,0.30,0.80
New Castle,IN,92.00,0.50,1.90,4.20,0.70
North Manchester,IN,92.80,0.00,7.30,1.40,0.00
North Vernon,IN,97.20,0.40,3.60,1.20,0.10
North Webster,IN,94.50,0.10,1.30,0.00,0.50
Oakland City,IN,96.90,0.50,2.40,1.30,0.10
Ossian,IN,95.90,0.70,3.00,0.00,0.80
Paoli,IN,96.80,0.00,0.10,0.50,2.10
Peru,IN,88.90,1.40,4.40,6.70,0.60
Plymouth,IN,86.20,0.40,20.10,0.70,0.90
Portland,IN,95.30,0.30,8.70,0.80,0.20
Princeton,IN,88.50,0.00,3.00,6.20,0.30
Rensselaer,IN,93.20,0.00,5.80,3.20,0.80
Richmond,IN,86.40,0.20,4.00,7.30,1.30
Rochester,IN,97.90,1.00,2.30,0.40,0.30
Rockville,IN,92.60,0.00,2.00,3.80,0.00
Rushville,IN,94.30,0.00,2.20,3.70,0.00
Salem,IN,98.00,0.00,0.90,0.40,0.00
Scottsburg,IN,97.70,0.40,3.00,0.50,0.20
Seymour,IN,86.70,0.20,11.30,1.70,2.90
Shelbyville,IN,90.30,0.20,7.70,1.90,1.20
Sheridan,IN,98.50,0.00,1.80,0.10,0.20
Shorewood Forest,IN,90.70,0.50,3.70,4.50,3.60
South Bend,IN,78.50,0.50,8.20,13.30,2.20
Sullivan,IN,97.00,0.40,0.60,0.00,1.90
Syracuse,IN,95.90,0.30,7.50,0.30,0.10
Tell City,IN,94.30,0.50,1.70,1.70,0.10
Terre Haute,IN,86.10,0.20,2.50,6.70,2.10
Tipton,IN,95.20,0.00,2.80,0.50,0.90
Union City,IN,94.80,0.00,16.40,0.70,0.00
Upland,IN,93.50,0.90,1.00,1.20,2.00
Vincennes,IN,91.40,0.10,2.20,5.40,1.10
Wabash,IN,95.60,0.40,2.30,0.40,0.40
Walkerton,IN,98.20,0.30,4.20,0.70,0.00
Warsaw,IN,89.80,0.10,12.60,1.50,1.90
Washington,IN,89.80,0.10,11.30,4.10,0.30
Westville,IN,72.40,0.20,6.80,23.80,0.40
Winamac,IN,91.30,0.00,4.60,0.80,1.80
Winchester,IN,94.30,0.00,1.60,0.20,0.60
Abilene,KS,96.50,0.90,3.80,0.70,0.00
Arkansas City,KS,87.10,2.40,19.50,3.10,0.50
Atchison,KS,88.20,0.60,3.80,3.80,0.50
Augusta,KS,94.10,1.10,6.50,0.70,0.10
Baldwin City,KS,91.10,1.50,5.80,2.20,0.50
Basehor,KS,95.90,0.00,1.70,1.20,2.00
Baxter Springs,KS,88.50,4.40,3.60,0.00,2.20
Beloit,KS,98.20,0.30,3.30,0.20,0.60
Burlington,KS,92.40,0.60,1.10,1.00,1.30
Chanute,KS,93.70,0.50,6.60,2.00,0.10
Clay Center,KS,96.80,0.00,0.80,1.10,0.90
Coffeyville,KS,77.30,4.90,9.70,9.20,1.10
Colby,KS,92.90,1.30,4.40,2.30,0.70
Columbus,KS,93.20,0.00,1.60,0.00,0.00
Concordia,KS,92.50,0.00,4.50,1.20,0.60
De Soto,KS,85.40,0.00,17.70,7.60,0.00
Dodge City,KS,87.50,0.40,62.60,2.70,1.60
El Dorado,KS,90.70,0.90,5.10,5.80,0.50
Ellsworth,KS,86.50,0.80,9.00,7.00,1.00
Emporia,KS,86.30,0.40,27.00,2.90,2.60
Eudora,KS,86.20,4.20,5.80,6.20,2.20
Eureka,KS,94.50,0.00,4.80,0.60,0.00
Fort Scott,KS,90.30,0.60,2.80,4.80,1.60
Galena,KS,95.70,4.10,6.50,0.00,0.00
Garden City,KS,74.60,0.90,53.70,2.60,4.70
Garnett,KS,93.10,6.80,0.30,0.10,0.00
Girard,KS,96.30,0.00,2.00,0.90,0.00
Goodland,KS,90.90,0.20,13.30,0.40,1.90
Great Bend,KS,90.30,1.00,19.90,1.60,0.60
Hays,KS,93.50,0.20,6.20,1.10,1.90
Hesston,KS,95.00,1.00,10.00,1.80,1.50
Hiawatha,KS,90.60,2.50,5.50,1.30,0.00
Hillsboro,KS,91.30,1.00,5.10,2.00,0.40
Hoisington,KS,91.80,1.90,4.80,3.30,0.00
Holton,KS,92.30,3.50,4.60,0.40,0.50
Hugoton,KS,88.40,0.20,41.80,0.10,0.80
Hutchinson,KS,90.30,0.90,11.60,3.90,0.80
Independence,KS,85.00,1.10,7.20,6.90,2.70
Iola,KS,90.70,0.20,3.70,2.60,1.50
Junction City,KS,68.90,0.90,16.00,18.60,3.60
Kingman,KS,96.10,0.60,6.40,0.50,0.00
Larned,KS,86.80,0.40,9.70,6.60,0.00
Lawrence,KS,80.70,2.50,6.60,4.60,5.90
Leavenworth,KS,75.00,0.50,9.10,14.00,2.30
Liberal,KS,58.80,0.80,60.50,5.20,3.30
Lindsborg,KS,93.80,0.50,3.80,3.30,0.90
Louisburg,KS,94.30,2.20,0.50,1.60,0.20
Lyons,KS,91.50,0.00,17.40,1.60,0.80
McPherson,KS,93.20,1.00,4.60,1.40,0.80
Manhattan,KS,82.90,0.50,6.90,5.30,5.90
Marysville,KS,95.80,0.00,4.80,0.90,1.90
Neodesha,KS,96.00,1.20,3.60,0.40,0.00
Newton,KS,92.40,0.40,15.90,2.80,0.80
Norton,KS,96.00,0.00,3.60,0.10,0.60
Osage City,KS,96.60,0.40,4.60,1.70,0.00
Osawatomie,KS,94.70,0.10,6.50,3.00,0.60
Ottawa,KS,92.50,0.40,4.80,2.10,0.40
Paola,KS,94.80,0.20,5.00,2.50,0.40
Parsons,KS,87.50,0.60,6.30,6.80,0.20
